,temperature,humidity,CO2CosIRValue,CO2MG811Value,MOX1,MOX2,MOX3,MOX4,COValue
805,19.708000000000002,55.14422222222222,139.46666666666667,572.6333333333333,466.22222222222223,719.7444444444444,673.4666666666667,603.8333333333334,110.91111111111111
1848,23.19433333333333,51.984,115.81111111111112,543.6111111111111,461.7888888888889,712.4111111111112,664.9111111111112,598.5555555555555,116.24444444444444
3646,17.76077777777778,51.94888888888889,72.32222222222222,509.1,546.5666666666667,732.4222222222222,695.5222222222222,641.6111111111111,94.95555555555555
2713,22.405555555555555,45.88411111111111,111.44444444444444,515.9888888888889,501.6222222222222,659.8555555555556,622.9444444444445,535.9555555555555,155.6888888888889
33,19.83422222222222,56.96644444444444,111.82222222222222,598.1777777777778,454.6,728.4777777777778,677.0222222222222,605.4,150.54444444444445
2372,23.703444444444443,54.63322222222222,271.6333333333333,495.1666666666667,431.6666666666667,623.8222222222222,563.1222222222223,475.0444444444444,227.63333333333333
2407,18.655333333333335,56.751777777777775,80.85555555555555,536.9555555555555,517.4555555555555,730.7777777777778,690.0222222222222,628.0111111111111,106.55555555555556
3106,17.411555555555555,53.34088888888889,114.46666666666667,507.9,532.4777777777778,715.9555555555555,675.0777777777778,609.9222222222222,111.25555555555556
3439,17.858444444444444,49.583333333333336,109.17777777777778,504.8,530.9,731.7333333333333,692.4666666666667,636.3888888888889,108.2
179,19.121,56.24477777777778,121.57777777777778,597.3222222222222,494.3888888888889,733.3555555555556,692.3333333333334,609.7888888888889,102.13333333333334
2922,17.229666666666667,49.50544444444444,105.81111111111112,513.9333333333333,535.2333333333333,736.5777777777778,694.0555555555555,637.1666666666666,111.2
471,17.981666666666666,52.379888888888885,121.5,589.7666666666667,486.8666666666667,745.7666666666667,694.3333333333334,628.5333333333333,99.68888888888888
2771,18.305555555555557,52.32222222222222,118.06666666666666,513.5,519.4111111111112,691.3444444444444,653.6333333333333,575.2555555555556,125.25555555555556
3633,18.752777777777776,49.660666666666664,93.97777777777777,504.26666666666665,531.5222222222222,726.0,689.7555555555556,629.9777777777778,95.64444444444445
4113,20.201666666666668,56.797555555555554,70.54444444444445,500.35555555555555,534.4888888888889,710.2444444444444,668.4333333333333,617.7666666666667,115.23333333333333
598,22.68788888888889,45.867222222222225,111.58888888888889,588.5,391.76666666666665,717.0333333333333,663.0666666666667,587.6555555555556,107.54444444444445
3820,19.357000000000003,48.83544444444444,80.1,503.6111111111111,548.0777777777778,724.8,685.8555555555556,630.0666666666667,116.67777777777778
1068,18.945333333333334,54.22688888888889,84.35555555555555,584.6888888888889,465.27777777777777,735.5666666666667,694.3,621.1888888888889,108.13333333333334
1073,21.755333333333333,51.49044444444445,113.0111111111111,570.9666666666667,484.25555555555553,733.4777777777778,691.6555555555556,626.1,123.26666666666667
4390,22.529444444444444,54.47866666666667,94.27777777777777,509.1,502.4111111111111,716.5333333333333,654.6555555555556,603.8777777777777,117.17777777777778
230,19.03022222222222,51.194222222222216,110.77777777777777,598.9222222222222,479.0111111111111,746.1,704.4444444444445,633.9,105.06666666666666
3259,15.166666666666666,50.06411111111112,103.4,510.6222222222222,559.3444444444444,738.6222222222223,695.5444444444445,647.6,104.02222222222223
69,24.404777777777777,47.61544444444445,110.9888888888889,597.9333333333333,399.75555555555553,670.8444444444444,572.9555555555555,496.96666666666664,123.67777777777778
291,17.93288888888889,42.42922222222222,62.233333333333334,625.5888888888888,496.25555555555553,789.1666666666666,758.4777777777778,692.8222222222222,80.26666666666667
926,23.50288888888889,48.754222222222225,112.2,576.8666666666667,458.3333333333333,718.9888888888889,675.4666666666667,606.7444444444444,121.84444444444445
2470,22.964000000000002,49.251666666666665,102.84444444444445,523.7555555555556,502.73333333333335,704.0222222222222,662.8555555555556,596.7,117.03333333333333
23,21.548444444444442,55.080666666666666,114.88888888888889,597.5888888888888,430.4,722.2666666666667,667.5888888888888,595.5888888888888,182.38888888888889
3829,17.630666666666666,47.89822222222222,62.355555555555554,509.8777777777778,584.0333333333333,760.3666666666667,727.4444444444445,681.6777777777778,86.61111111111111
2734,20.84511111111111,46.23422222222222,99.24444444444444,521.1333333333333,530.2222222222222,713.9555555555555,666.0777777777778,606.9666666666667,132.35555555555555
4131,20.206444444444443,57.13822222222222,71.4,499.9,533.8111111111111,713.0777777777778,670.7222222222222,622.0333333333333,117.28888888888889
2580,18.33111111111111,54.89466666666667,119.73333333333333,522.1777777777778,543.6,739.8666666666667,697.6777777777778,648.9888888888889,105.95555555555555
1345,22.955333333333332,51.114333333333335,112.61111111111111,551.9222222222222,472.06666666666666,708.3222222222222,663.5,594.2777777777778,121.53333333333333
4531,20.444555555555556,59.76433333333333,90.78888888888889,509.24444444444447,486.0444444444444,683.3444444444444,615.5444444444445,526.9333333333333,135.5888888888889
2070,20.323666666666668,52.647666666666666,46.733333333333334,543.3111111111111,488.5111111111111,725.5,682.8444444444444,630.4777777777778,126.54444444444445
468,18.14677777777778,52.45488888888888,123.16666666666667,589.4111111111112,487.55555555555554,741.4444444444445,687.4666666666667,622.5222222222222,101.53333333333333
2977,17.711555555555556,43.00255555555555,80.68888888888888,521.4888888888889,559.6888888888889,754.5333333333333,715.0777777777778,659.8888888888889,95.96666666666667
157,23.000222222222224,46.39511111111111,96.56666666666666,604.7333333333333,444.8666666666667,735.0666666666667,693.7888888888889,615.8444444444444,100.8
26,20.72311111111111,55.95066666666667,108.57777777777778,600.0444444444445,433.8222222222222,726.9111111111112,673.5888888888888,602.6666666666666,171.2888888888889
1029,23.985999999999997,50.03033333333333,139.9,561.2666666666667,402.35555555555555,679.6222222222223,604.6333333333333,536.7777777777778,134.1
4749,20.403555555555556,57.730222222222224,43.7,518.1555555555556,530.4333333333333,703.4888888888889,647.5777777777778,598.1777777777778,149.9777777777778
252,20.67577777777778,45.361777777777775,98.31111111111112,604.9888888888889,502.0888888888889,761.0,721.1222222222223,662.3,105.46666666666667
3506,16.32611111111111,43.33744444444444,65.5111111111111,514.4555555555555,586.8888888888889,767.5666666666667,735.9777777777778,679.4666666666667,92.04444444444445
1634,19.294888888888888,46.09111111111111,66.21111111111111,567.8,524.8333333333334,775.0,733.5888888888888,685.9555555555555,84.9
633,16.20888888888889,44.620000000000005,72.76666666666667,609.5222222222222,540.7888888888889,777.3888888888889,742.7444444444444,676.9888888888889,90.8
3680,19.369222222222223,54.733333333333334,104.5,501.34444444444443,533.2666666666667,708.4222222222222,670.7333333333333,602.5444444444445,99.65555555555555
1775,18.487555555555556,56.70933333333333,98.72222222222223,554.5777777777778,515.1222222222223,729.1444444444444,671.5333333333333,608.1444444444444,114.78888888888889
677,17.275222222222222,45.53966666666666,90.97777777777777,595.0555555555555,459.05555555555554,741.4222222222222,699.9666666666667,633.3111111111111,111.47777777777777
802,20.002333333333333,55.56933333333333,141.01111111111112,570.9666666666667,454.6333333333333,708.8444444444444,662.2555555555556,587.4666666666667,115.8
4011,20.176555555555556,55.34122222222222,69.44444444444444,503.0111111111111,537.1222222222223,714.4111111111112,673.4888888888889,620.5666666666667,117.93333333333334
315,20.17222222222222,52.296888888888894,132.5888888888889,586.1222222222223,429.3666666666667,722.9888888888889,681.6222222222223,595.3777777777777,105.22222222222223
4541,20.079333333333334,57.965333333333334,62.84444444444444,518.1111111111111,526.1777777777778,722.1666666666666,662.7888888888889,595.9333333333333,107.21111111111111
3139,22.23,52.974,144.5,499.4,447.4,667.8333333333334,620.0666666666667,550.0222222222222,166.44444444444446
3867,15.675333333333333,58.11366666666666,71.61111111111111,508.8777777777778,582.8444444444444,743.5111111111111,707.0,657.1111111111111,105.42222222222222
1295,18.494777777777777,51.77722222222222,94.75555555555556,563.4555555555555,485.6111111111111,688.3333333333334,599.5555555555555,541.9222222222222,117.83333333333333
1220,23.589777777777776,50.78622222222222,131.24444444444444,553.3777777777777,452.4222222222222,709.2888888888889,661.3111111111111,593.6111111111111,114.76666666666667
4577,20.17888888888889,57.84211111111111,47.93333333333333,523.2666666666667,544.7111111111111,741.5888888888888,688.3777777777777,641.3888888888889,94.07777777777778
3723,20.917777777777776,58.68488888888889,133.82222222222222,494.4,506.27777777777777,647.4333333333333,614.5333333333333,526.3777777777777,118.87777777777778
1074,21.811666666666667,52.10444444444444,102.57777777777778,574.5666666666667,479.25555555555553,731.7222222222222,689.7666666666667,627.1,116.94444444444444
1183,21.002000000000002,57.48177777777777,135.38888888888889,558.2333333333333,441.7888888888889,702.9333333333333,650.8444444444444,578.9555555555555,118.73333333333333
3852,15.904111111111112,58.280777777777786,61.46666666666667,510.8777777777778,591.9888888888889,743.2111111111111,710.9666666666667,655.3777777777777,96.9888888888889
4491,21.30977777777778,54.75477777777778,59.022222222222226,519.4,532.8,734.5222222222222,681.9,639.9666666666667,105.9
731,20.857333333333333,47.744666666666674,108.7,583.3,439.23333333333335,715.1333333333333,668.0,598.4333333333333,132.2111111111111
4534,20.08722222222222,59.306222222222225,77.2,512.9444444444445,504.2111111111111,699.4555555555555,634.8222222222222,553.7444444444444,122.26666666666667
4415,20.62633333333333,52.895,53.94444444444444,521.4555555555555,539.7444444444444,750.2111111111111,697.0555555555555,656.0,105.67777777777778
2273,24.021666666666665,49.946444444444445,103.57777777777778,529.0333333333333,497.2888888888889,696.2111111111111,653.9222222222222,587.4222222222222,105.18888888888888
2205,20.361,56.07066666666666,119.04444444444445,527.5,475.5888888888889,684.2555555555556,628.0444444444445,563.1222222222223,138.92222222222222
1850,21.935444444444446,54.266666666666666,115.42222222222222,543.4888888888889,465.97777777777776,718.9444444444445,671.7444444444444,607.0333333333333,113.52222222222223
350,22.120444444444445,48.672,113.02222222222223,591.6333333333333,490.8777777777778,734.2333333333333,688.7888888888889,613.4222222222222,102.13333333333334
2023,21.531,54.968444444444444,61.32222222222222,537.9555555555555,520.5,713.4444444444445,667.7444444444444,604.4444444444445,123.1
3178,17.213444444444445,51.57666666666666,91.0111111111111,513.3555555555556,532.6888888888889,723.5444444444445,683.8111111111111,626.3555555555556,100.33333333333333
1992,23.444,52.20888888888889,69.52222222222223,535.3666666666667,460.76666666666665,685.0555555555555,640.7333333333333,563.8111111111111,131.5888888888889
3926,19.845666666666666,54.06622222222222,71.52222222222223,505.3888888888889,544.6555555555556,730.5333333333333,690.1777777777778,642.7555555555556,103.12222222222222
655,17.964444444444442,48.49588888888889,114.84444444444445,583.1333333333333,470.4888888888889,729.7444444444444,683.6777777777778,619.0,153.56666666666666
2671,21.241777777777777,52.77144444444445,201.46666666666667,499.02222222222224,428.3888888888889,655.2555555555556,604.3111111111111,530.9111111111112,197.12222222222223
2770,18.408444444444445,52.33522222222222,117.68888888888888,513.0,517.2,688.3111111111111,650.5,570.7333333333333,126.88888888888889
1323,20.946,53.87544444444445,126.63333333333334,543.8222222222222,445.4111111111111,664.6111111111111,600.4777777777778,522.9555555555555,196.85555555555555
3568,21.724831460674157,44.24044943820225,109.80898876404494,501.1011235955056,517.3033707865169,703.7078651685393,664.2359550561798,602.8426966292135,122.50561797752809
3948,19.956444444444443,55.443,67.7,506.03333333333336,543.4333333333333,725.6444444444444,685.6333333333333,637.1666666666666,99.61111111111111
297,18.19622222222222,52.64788888888889,99.57777777777778,601.5555555555555,464.73333333333335,736.9,698.3,619.5777777777778,97.84444444444445
2374,22.96088888888889,55.479,239.7111111111111,497.0888888888889,423.8,641.5555555555555,588.5555555555555,477.9888888888889,247.3111111111111
1534,19.410777777777778,55.00566666666667,106.77777777777777,548.0,524.0333333333333,723.1777777777778,669.4333333333333,603.4888888888889,125.12222222222222
2782,17.412333333333333,53.13611111111111,110.82222222222222,515.0,526.0777777777778,704.8666666666667,654.5222222222222,590.6444444444444,135.51111111111112
4400,20.604594594594595,54.69,89.67567567567568,511.3783783783784,532.972972972973,744.3783783783783,688.8648648648649,643.2972972972973,105.70270270270271
1831,23.233777777777778,49.203,93.08888888888889,551.4666666666667,495.02222222222224,731.3444444444444,683.6666666666666,624.5222222222222,103.91111111111111
3810,20.839333333333332,58.961666666666666,166.75555555555556,488.85555555555555,512.3777777777777,676.1777777777778,633.6,565.7444444444444,156.0
3808,20.333222222222222,59.346222222222224,154.4777777777778,490.9222222222222,510.15555555555557,678.7777777777778,635.7,568.4666666666667,154.38888888888889
4081,20.071,56.995000000000005,71.84444444444445,501.6111111111111,535.0555555555555,716.9,675.3777777777777,627.1333333333333,113.91111111111111
2559,22.08388888888889,48.40155555555556,111.46666666666667,523.7,531.9555555555555,695.5444444444445,657.5777777777778,582.1111111111111,112.27777777777777
977,23.92066666666667,50.510222222222225,148.8,560.7,394.34444444444443,675.4666666666667,632.9111111111112,542.4555555555555,137.33333333333334
1032,22.987555555555556,51.96522222222222,139.33333333333334,561.4555555555555,340.31111111111113,668.9555555555555,599.9,526.1666666666666,143.42222222222222
4586,20.146444444444445,57.260222222222225,46.22222222222222,523.0111111111111,552.2,745.2666666666667,693.2333333333333,647.7888888888889,98.63333333333334
1322,21.153444444444442,53.709111111111106,127.26666666666667,542.6,439.7111111111111,658.0333333333333,592.5444444444445,515.3555555555556,210.04444444444445
1027,23.762888888888888,51.10055555555556,142.38888888888889,560.5777777777778,405.55555555555554,675.1,598.2777777777778,529.4,136.76666666666668
1235,20.37966666666667,54.782333333333334,118.93333333333334,556.9111111111112,455.1666666666667,721.4444444444445,676.3444444444444,613.7333333333333,118.94444444444444
1892,24.305444444444444,49.43911111111112,164.61111111111111,528.7,460.0888888888889,669.4222222222222,616.8111111111111,536.2333333333333,174.82222222222222
828,23.97813186813187,47.49373626373627,110.45054945054945,579.989010989011,462.42857142857144,725.5384615384615,682.3516483516484,615.8901098901099,103.58241758241758
1084,20.87966666666667,54.64633333333333,121.6,564.2,381.6,688.3666666666667,642.2444444444444,559.4777777777778,153.7888888888889
1973,21.02922222222222,54.395,50.644444444444446,547.0777777777778,512.1222222222223,719.7,672.3777777777777,610.3,128.0
3284,18.667444444444445,51.06333333333333,111.63333333333334,504.6777777777778,489.2888888888889,654.1222222222223,584.0777777777778,525.1333333333333,139.17777777777778
2329,23.343444444444444,58.88222222222222,442.9888888888889,461.9,358.1111111111111,540.9888888888889,492.6666666666667,395.31111111111113,645.2111111111111
1597,23.957222222222224,49.456,104.64444444444445,543.6777777777778,424.5888888888889,724.6,654.9333333333333,584.1444444444444,133.4777777777778
4151,20.235777777777777,58.444,73.83333333333333,498.4111111111111,530.6888888888889,705.3111111111111,662.0666666666667,610.1444444444444,125.6
994,19.568555555555555,56.382333333333335,140.32222222222222,564.1444444444444,413.46666666666664,720.8,678.0333333333333,601.4555555555555,122.04444444444445
3479,20.51688888888889,46.967999999999996,101.12222222222222,505.8,524.3888888888889,717.9333333333333,678.3222222222222,623.9444444444445,104.17777777777778
3437,18.33711111111111,49.147999999999996,110.52222222222223,504.8222222222222,524.3555555555556,726.9111111111112,687.9111111111112,630.4222222222222,111.4
100,22.672333333333334,46.08955555555556,90.03333333333333,608.1777777777778,491.77777777777777,751.7,710.3444444444444,645.2444444444444,98.3
2441,18.170444444444442,57.04844444444444,111.18888888888888,526.3333333333334,534.0111111111111,723.4333333333333,684.6333333333333,616.7555555555556,107.91111111111111
3035,17.133666666666667,51.38577777777778,95.67777777777778,512.1888888888889,497.73333333333335,700.8555555555556,656.5777777777778,596.9444444444445,131.2
843,22.27288888888889,51.49411111111112,120.84444444444445,576.3222222222222,433.4888888888889,708.7666666666667,665.2666666666667,588.5111111111111,108.81111111111112
1149,19.158555555555555,50.56366666666666,94.92222222222222,576.4555555555555,539.4333333333333,756.2555555555556,718.0444444444445,660.5555555555555,110.34444444444445
2211,20.704555555555558,50.07933333333334,79.4888888888889,539.8,498.8333333333333,721.7555555555556,677.8555555555556,614.0888888888888,103.76666666666667
1748,22.742555555555555,48.733444444444444,100.64444444444445,557.1777777777778,481.8,721.5222222222222,655.7,591.8777777777777,116.22222222222223
1498,23.087444444444444,51.54544444444445,115.35555555555555,543.8888888888889,461.1666666666667,684.9888888888889,639.9333333333333,566.5777777777778,198.75555555555556
240,17.39611111111111,42.00111111111111,61.12222222222222,627.5555555555555,597.8777777777777,798.6777777777778,770.0222222222222,720.0666666666667,82.0111111111111
3126,18.750333333333334,53.807,105.5,502.31111111111113,497.3666666666667,662.1333333333333,606.3,539.1,258.6222222222222
2982,18.226222222222223,50.912111111111116,126.56666666666666,507.23333333333335,509.6333333333333,673.9,633.2777777777778,555.9,141.32222222222222
2142,21.627555555555556,57.921555555555564,117.28888888888889,527.5111111111111,448.5444444444444,629.5666666666667,590.2333333333333,493.4555555555556,136.77777777777777
8,20.253444444444444,51.348,88.13333333333334,615.0222222222222,393.55555555555554,751.5888888888888,699.7888888888889,619.5222222222222,107.0111111111111
1719,18.478555555555555,52.56633333333333,106.26666666666667,553.8222222222222,511.6777777777778,755.3666666666667,708.8111111111111,656.2666666666667,95.9888888888889
2295,19.510666666666665,55.004666666666665,104.12222222222222,531.4555555555555,511.5777777777778,726.0666666666667,681.1444444444444,617.7777777777778,97.56666666666666
2521,20.506777777777778,50.599777777777774,109.92222222222222,524.7,518.4777777777778,722.5222222222222,682.5333333333333,616.8888888888889,115.85555555555555
1651,23.694666666666667,50.04466666666667,110.41111111111111,549.8,451.72222222222223,733.1,682.6555555555556,620.6222222222223,113.67777777777778
1474,20.721444444444444,56.711333333333336,124.71111111111111,549.1777777777778,449.3,711.2888888888889,670.8666666666667,597.5888888888888,114.2
1672,19.029777777777777,53.21144444444444,105.32222222222222,553.8111111111111,500.9222222222222,751.6333333333333,706.0555555555555,647.4555555555555,101.46666666666667
1890,24.53177777777778,50.00322222222222,186.2111111111111,523.6333333333333,447.4888888888889,664.8444444444444,608.6333333333333,531.9555555555555,207.9
4330,20.716444444444445,63.839777777777776,144.51111111111112,506.31111111111113,492.9111111111111,724.8333333333334,656.2555555555556,588.2333333333333,147.72222222222223
582,18.00477777777778,47.12511111111111,77.33333333333333,609.6,436.23333333333335,762.4222222222222,723.1333333333333,658.6777777777778,86.83333333333333
2800,22.457222222222224,46.419111111111114,109.25555555555556,514.1333333333333,425.2,690.4333333333333,645.0333333333333,579.2555555555556,157.3111111111111
4361,21.586666666666666,55.74922222222222,109.88888888888889,514.3111111111111,529.4111111111112,746.5,690.5111111111111,643.9222222222222,100.34444444444445
3537,17.99,51.556888888888885,113.42222222222222,502.4222222222222,540.3,714.0777777777778,676.7444444444444,616.1555555555556,104.44444444444444
2105,19.810444444444446,58.79144444444444,73.77777777777777,533.5444444444445,482.7888888888889,714.6888888888889,667.2777777777778,606.6333333333333,110.0
416,18.69066666666667,51.96322222222222,116.94444444444444,591.8111111111111,476.97777777777776,751.3888888888889,709.8555555555556,649.3333333333334,104.42222222222222
764,18.467666666666666,50.529444444444444,124.87777777777778,578.0222222222222,464.72222222222223,714.2555555555556,658.7777777777778,588.1777777777778,149.74444444444444
501,21.442,47.07922222222222,108.65555555555555,591.1222222222223,421.5,739.3555555555556,696.3333333333334,634.1222222222223,105.15555555555555
4134,20.27166666666667,57.61611111111111,70.62222222222222,499.4888888888889,529.8666666666667,706.3333333333334,663.5555555555555,614.0111111111111,122.16666666666667
838,24.79111111111111,48.10744444444445,117.4888888888889,575.9222222222222,441.34444444444443,708.3777777777777,663.9888888888889,590.1,106.76666666666667
1488,18.660333333333334,53.48455555555555,70.25555555555556,569.5888888888888,562.8777777777777,757.3888888888889,725.3555555555556,666.3444444444444,84.15555555555555
3343,16.265555555555554,49.85688888888889,99.96666666666667,507.55555555555554,559.2777777777778,740.9555555555555,702.9444444444445,650.1888888888889,106.16666666666667
2602,22.230222222222224,48.53222222222222,103.18888888888888,523.1777777777778,489.81111111111113,704.5111111111111,659.9333333333333,598.3444444444444,135.54444444444445
2622,19.718,52.79644444444445,112.86666666666666,522.4666666666667,511.65555555555557,720.3555555555556,679.0333333333333,616.6,107.23333333333333
3677,20.00477777777778,53.75677777777777,101.54444444444445,501.93333333333334,528.2888888888889,705.2111111111111,667.8666666666667,597.7888888888889,101.35555555555555
429,17.195666666666664,47.04911111111111,76.72222222222223,612.6,501.9555555555556,772.9777777777778,737.1777777777778,681.2333333333333,83.93333333333334
1402,24.064333333333334,53.32233333333333,120.11111111111111,549.1111111111111,472.84444444444443,701.6555555555556,648.9,577.1444444444444,119.67777777777778
1938,24.912888888888887,48.98511111111111,124.12222222222222,535.4,450.96666666666664,661.6666666666666,573.0777777777778,523.7333333333333,177.5888888888889
4032,20.15,55.849,69.63333333333334,503.35555555555555,537.8555555555556,716.3222222222222,675.6111111111111,624.6,114.42222222222222
3112,16.85822222222222,54.20622222222222,116.9888888888889,507.8,542.8111111111111,723.7,682.2444444444444,622.3777777777777,107.5111111111111
1436,19.555888888888887,57.49877777777778,108.84444444444445,552.0444444444445,484.84444444444443,703.2444444444444,648.2777777777778,579.4777777777778,144.92222222222222
3927,19.858555555555554,54.08444444444445,71.28888888888889,505.7111111111111,544.5777777777778,729.0444444444445,688.4555555555555,641.0,102.85555555555555
3227,15.748666666666669,49.92244444444445,82.83333333333333,516.6111111111111,572.6666666666666,743.3111111111111,708.4,653.4,87.64444444444445
465,18.55488888888889,51.906444444444446,123.77777777777777,589.3444444444444,484.97777777777776,737.9444444444445,681.0333333333333,615.0222222222222,104.0
2742,22.519333333333332,47.44111111111111,126.27777777777777,512.6555555555556,440.22222222222223,664.3777777777777,618.2222222222222,543.6666666666666,173.3111111111111
1425,20.935666666666666,57.88111111111111,124.65555555555555,548.4,472.27777777777777,713.3777777777777,671.2888888888889,599.4222222222222,112.0111111111111
2952,20.261222222222223,47.638,103.2,512.8777777777777,474.52222222222224,706.0777777777778,659.6333333333333,588.7888888888889,135.53333333333333
3414,18.054666666666666,50.071333333333335,98.11111111111111,506.93333333333334,439.8222222222222,699.6555555555556,658.3444444444444,600.9777777777778,131.66666666666666
135,18.496666666666666,56.81522222222222,110.92222222222222,600.9222222222222,495.7888888888889,743.4555555555555,703.4111111111112,631.3,96.52222222222223
4442,19.298222222222222,55.449444444444445,48.644444444444446,523.0,555.6888888888889,756.7666666666667,705.9444444444445,662.7777777777778,101.92222222222222
387,18.18788888888889,53.65755555555556,108.0111111111111,596.6222222222223,512.5777777777778,753.0666666666667,712.8666666666667,649.9444444444445,103.86666666666666
2484,18.723666666666666,52.47822222222222,99.64444444444445,525.5,534.7111111111111,736.9777777777778,697.6666666666666,638.8111111111111,104.64444444444445
2643,19.621333333333332,53.120111111111115,137.77777777777777,511.81111111111113,407.52222222222224,631.3111111111111,579.9666666666667,488.44444444444446,245.53333333333333
29,20.246555555555556,56.669111111111114,111.28888888888889,598.2333333333333,444.84444444444443,725.7333333333333,673.3111111111111,600.6777777777778,160.96666666666667
3129,19.48311111111111,53.27188888888889,111.66666666666667,502.8333333333333,498.0111111111111,678.7888888888889,625.2333333333333,561.8888888888889,181.14444444444445
3641,17.136888888888887,49.824444444444445,76.71111111111111,508.3222222222222,550.6,719.8777777777777,676.8777777777777,618.1777777777778,109.17777777777778
2032,24.113888888888887,51.72866666666667,72.11111111111111,534.1,493.1333333333333,706.3666666666667,658.5444444444445,595.5444444444445,120.88888888888889
3078,15.421111111111113,56.78033333333334,71.25555555555556,520.2666666666667,573.7222222222222,742.6666666666666,707.0444444444445,648.5888888888888,102.71111111111111
1444,19.032,57.36166666666667,82.7,563.2555555555556,538.1222222222223,745.6333333333333,709.3222222222222,644.3666666666667,88.58888888888889
3345,15.888333333333334,50.48533333333334,103.52222222222223,507.0777777777778,562.9888888888889,738.7,701.1111111111111,648.4444444444445,104.22222222222223
3729,19.572666666666667,60.455666666666666,132.1888888888889,495.23333333333335,521.0,659.6222222222223,626.6444444444444,539.7888888888889,110.11111111111111
4716,20.540666666666667,58.50822222222222,42.5,518.3666666666667,526.9,696.7888888888889,640.0,587.4666666666667,163.9
79,20.052444444444443,55.58611111111111,107.63333333333334,599.9111111111112,447.7111111111111,716.1333333333333,647.7777777777778,570.8555555555556,118.63333333333334
829,24.478314606741574,46.7938202247191,111.12359550561797,579.2584269662922,460.85393258426967,725.2022471910112,681.7865168539325,615.7303370786517,103.53932584269663
472,17.914777777777775,52.334,121.38888888888889,590.1777777777778,490.1,747.9,697.1111111111111,631.4333333333333,99.34444444444445
2443,20.843,51.09188888888888,109.06666666666666,526.5888888888888,515.6666666666666,712.5666666666667,667.6555555555556,604.8444444444444,117.65555555555555
1553,23.214,53.001999999999995,120.6,541.0,474.6,704.6,660.6,586.6,130.0
4430,20.925444444444445,55.015888888888895,54.22222222222222,521.5111111111111,535.3555555555556,743.3333333333334,689.1555555555556,645.3444444444444,103.36666666666666
1675,18.333666666666666,49.602666666666664,80.47777777777777,562.0333333333333,525.2,751.4555555555555,698.6888888888889,639.6666666666666,121.58888888888889
842,22.748555555555555,50.766555555555556,118.5,576.7333333333333,429.03333333333336,708.7444444444444,664.9,586.4888888888889,109.54444444444445
2292,19.763666666666666,54.78855555555556,102.56666666666666,531.5222222222222,506.85555555555555,723.4333333333333,678.9777777777778,610.9888888888889,98.86666666666666
2820,17.37033333333333,51.25477777777778,110.57777777777778,514.7111111111111,526.0666666666667,720.0888888888888,673.2888888888889,605.5,116.53333333333333
4224,20.827,57.398555555555554,69.71111111111111,497.3777777777778,538.5222222222222,707.7111111111111,667.9777777777778,619.1222222222223,105.43333333333334
3600,19.499666666666666,48.96711111111111,143.86666666666667,495.6333333333333,519.4777777777778,699.8111111111111,637.9666666666667,591.6222222222223,113.74444444444444
414,18.94366666666667,51.82677777777778,117.97777777777777,591.7333333333333,469.8222222222222,750.1,708.3111111111111,645.8888888888889,108.02222222222223
3841,16.167555555555555,52.416888888888884,61.922222222222224,510.4,596.6444444444444,753.9555555555555,721.3333333333334,671.2222222222222,94.06666666666666
2988,20.37677777777778,47.04266666666667,109.08888888888889,511.15555555555557,520.7444444444444,714.1444444444444,674.9555555555555,609.7777777777778,112.74444444444444
534,20.89311111111111,46.35777777777778,111.57777777777778,590.5,484.0888888888889,748.3666666666667,705.5777777777778,646.6,112.16666666666667
2768,18.796333333333333,51.85666666666667,118.58888888888889,512.9,511.85555555555555,683.8111111111111,646.9111111111112,564.7222222222222,128.7
2915,18.327333333333335,48.07066666666666,106.94444444444444,512.9333333333333,522.0777777777778,721.0333333333333,677.1333333333333,612.0555555555555,118.23333333333333
3682,18.83388888888889,55.57155555555555,105.38888888888889,501.2888888888889,538.4222222222222,713.5222222222222,675.2555555555556,611.2111111111111,98.9888888888889
199,17.95888888888889,44.37588888888889,64.95555555555555,624.1666666666666,581.1,787.4222222222222,756.3333333333334,696.4666666666667,96.1
61,22.834888888888887,48.41822222222223,88.96666666666667,607.2444444444444,497.2,737.5777777777778,691.2888888888889,619.7777777777778,114.54444444444445
3272,15.32,49.20344444444445,87.35555555555555,513.2222222222222,567.9444444444445,729.6,693.7666666666667,630.3444444444444,103.27777777777777
1642,23.631444444444444,49.282444444444444,112.27777777777777,551.8888888888889,423.3222222222222,731.7888888888889,679.8,616.2555555555556,110.55555555555556
4447,18.88911111111111,55.196333333333335,46.94444444444444,524.1888888888889,557.6,760.4777777777778,710.7222222222222,669.8555555555556,97.31111111111112
